dbn,name,schoolyear,fl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,Total Grads - % of cohort,Total Regents - % of cohort,Advanced Regents - % of cohort,Regents w/o Advanced - % of cohort,Local - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
02M475,STUYVESANT HIGH SCHOOL,20082009,22.3,3245,0.0,0.3,67.3,2.0,3.1,27.5,58.2,41.8,97.8,97.8,97.1,0.7,0.0,2.0,0.1
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,20082009,60.8,823,3.6,12.4,27.9,24.2,36.8,10.4,55.0,45.0,78.8,54.1,23.3,30.8,24.7,13.0,8.2
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,20082009,87.2,183,12.0,23.0,2.2,37.7,59.0,0.5,60.1,39.9,52.5,30.0,0.0,30.0,22.5,40.0,7.5
02M519,TALENT UNLIMITED HIGH SCHOOL,20082009,39.8,438,0.5,3.7,2.5,36.8,38.6,20.3,23.3,76.7,86.2,71.3,38.3,33.0,14.9,11.7,2.1
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,20082009,60.7,2749,11.6,11.8,14.5,32.2,50.1,2.6,49.5,50.5,50.1,35.7,25.5,10.1,14.4,29.1,19.1
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,20082009,53.1,723,6.4,13.7,5.5,25.7,63.1,5.3,38.2,61.8,64.2,48.5,36.6,11.9,15.7,23.1,11.9
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,20082009,56.9,215,1.4,8.8,2.3,43.7,45.6,7.9,24.7,75.3,87.5,42.5,0.0,42.5,45.0,10.0,2.5
02M542,MANHATTAN BRIDGES HIGH SCHOOL,20082009,83.5,475,82.9,0.2,0.0,0.6,99.2,0.0,51.6,48.4,76.59999999999998,39.4,25.5,13.8,37.2,19.1,2.1
02M543,NEW DESIGN HIGH SCHOOL,20082009,77.4,408,6.1,17.9,4.2,32.6,59.3,2.7,40.7,59.3,70.3,50.5,0.0,50.5,19.8,16.5,9.9
02M544,INDEPENDENCE HIGH SCHOOL,20082009,67.4,414,5.8,6.5,2.9,38.6,55.3,2.2,45.2,54.8,21.7,7.0,0.0,7.0,14.8,70.4,7.0
02M545,HIGH SCHOOL FOR DUAL LANGUAGE & ASIAN STUDIES,20082009,82.6,294,56.1,1.4,86.7,5.8,5.1,1.7,51.4,48.6,77.8,72.2,62.5,9.7,5.6,19.4,2.8
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,20082009,79.5,410,80.2,3.9,28.8,17.8,34.1,18.8,62.4,37.6,43.4,34.9,8.5,26.4,8.5,29.2,27.4
02M551,NEW YORK HARBOR SCHOOL,20082009,73.5,394,12.9,13.2,1.5,32.2,61.7,2.3,58.4,41.6,68.0,30.1,11.7,18.4,37.9,24.3,6.8
02M560,HIGH SCHOOL M560  CITY AS SCHOOL,20082009,26.4,720,1.5,12.5,4.4,39.7,40.6,14.3,49.4,50.6,37.6,21.5,0.0,21.5,16.1,59.5,2.9
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,20082009,35.5,147,,2.0,2.0,35.4,27.9,29.3,38.8,61.2,42.3,42.3,0.0,42.3,0.0,53.8,3.8
02M570,SATELLITE ACADEMY HIGH SCHOOL,20082009,64.4,901,1.7,5.5,3.2,40.1,53.4,3.1,45.2,54.8,19.0,1.0,0.0,1.0,18.1,76.8,3.5
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOO,20082009,91.4,772,63.5,2.2,33.7,35.1,23.8,6.7,54.3,45.7,44.2,37.9,14.5,23.4,6.3,38.3,17.5
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,20082009,70.0,618,5.2,14.9,4.0,35.9,55.5,2.6,31.7,68.3,56.3,33.6,12.6,21.0,22.7,22.7,19.3
02M586,HARVEY MILK HIGH SCHOOL,20082009,68.2,93,2.2,16.1,2.2,41.9,49.5,6.5,46.2,53.8,15.0,5.0,0.0,5.0,10.0,65.0,17.5
